,artist,song,genre,lyrics
12,jamie foxx featuring t-pain,blame it,R_and_B,"Blame it on the Goose (goose)
Got you feeling loose (loose)
Blame it on Petron ('tron)
Got you in the zone (zone)
Blame it on the a-a-a-a-a-alcohol
Blame it on the alcohol (fades)

[Verse:]

Ay, She say she usually don't
But I know that she front
Cause shawty know what she want
But she don't wanna seem like she easy
I hear you saying what ya won't do
But you know we probably gon do
What you been fening deep inside
Don't lie now

[Chorus:]

Girl, What ya drinking
Gone let it sink in
Here for the weekend
Thinking, we can
See what we can be if we press fast foward
Just one more round
If you're down, I'm for it
Fill another cup up
Feeling on your butt-What?
You don't even care now
I was unaware
How fine you was before my buzz set in
(My buzz set in)

Blame it on the Goose (goose)
Got you feeling loose (loose)
Blame it on Petron ('tron)
Got you in the zone (zone)
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the Vodka
Blame it on the Henny
Blame it on the Blue Tap
Gotcha feeling dizzy
Blame it on the a-a-a-a-a-a-alcohol
Blame it on the alcohol (fades)

[Verse 2:]

Oooh, see?
She spilled some drink on me
And now I'm knowing she's tipsy
She put her body on me
And she keep staring me right in my eyes
No telling what I'm gone do
Baby, I would rather show you
What you been missing in your life
When I get inside

[Chorus:]

Girl, What ya drinking
Gone let it sink in
Here for the weekend
Thinking, we can
See what we can be if we press fast foward
Just one more round
If you're down, I'm for it
Fill another cup up
Feeling on your butt-What?
You don't even care now
I was unaware
How fine you was before my buzz set in
(My buzz set in)

Blame it on the Goose (goose)
Got you feeling loose (loose)
Blame it on Petron ('tron)
Got you in the zone (zone)
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the Vodka
Blame it on the Henny
Blame it on the Blue Tap
Gotcha feeling dizzy
Blame it on the a-a-a-a-a-a-alcohol
Blame it on the alcohol (fades)

(T-Pain Verse)

Girl I know you feel good
Just like you look
Couple more shots
You open up like a book
I ain't tripping
(Cause I'mma read ya)
I ain't tripping
(I just wanna please ya)
I'mma take a shot of *Nuvo
Shawty didn't you know
It's going down
And we can go and kick it like Judo
You know what I mean
Shawty got drunk, thought it all was a dream
So I made her say, ""Ah, Ah, Ah""
Now she got her hands on my legs
Got my seats all wet in my ride
All over my ride
She look me dead in the eye (eye, eye)
Then my pants got bigger
She already knew what the figure
Had her looking at her boyfriend
Like ""Fuck that Nigga""

(T-Pain Chorus)

Blame it on the juice
Got you feeling loose
Blame it on Petron
Got you in the zone (zone)
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the Vodka
Blame it on the Henny
Blame it on the Blue Tap
Gotcha feeling dizzy
Blame it on the a-a-a-a-a-a-alcohol
Blame it on the alcohol (fades)

Now to the Ballers popping bottles
With their Henny in they cups
Screaming ""Money ain't a thing""
And if it ain't, throw it up
In the sky, Hold your drinks up high
And to the independent Ballers
Who can buy they own bottles
And if you looking like a model
When them broke fellas holla
Tell them bye
And hold ya drinks up high
You can...

Blame it on the Goose (goose)
Got you feeling loose (loose)
Blame it on Petron ('tron)
Got you in the zone (zone)
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-alcohol
Blame it on the Vodka
Blame it on the Henny
Blame it on the Blue Tap
Gotcha feeling dizzy
Blame it on the a-a-a-a-a-a-alcohol
Blame it on the alcohol (fades)"
14,keri hilson featuring kanye west & ne-yo,knock you down,R_and_B,"Feat. Kanye West And Ne-Yo

Not again
Oh, this ain't supposed to happen to me

Keep rockin' and keep knockin'
Whether you Louis Vuitton it up or Reebok'n
You see the hate that they servin' on a platter
So what we gonna have, dessert or disaster?

I never thought I'd be in love like this
When I look at you my mind goes on a trip
Then you came in and knocked me on my face
Feels like I'm in a race but I've already won first place

I never thought I'd fall for you as hard as I did
You got me thinkin' 'bout our life, a house and kids, yeah
Every morning I look at you and smile
'Cause boy, you came around and you knocked me down
Knocked me down

Sometimes love comes around and it knocks you down
Just get back up when it knocks you down, knocks you down
Sometimes love comes around and it knocks you down
Just get back up when it knocks you down, knocks you down

I never thought I'd hear myself say
Y'all go ahead, I think I'm gonna kick it with my girl today
I used to be commander in chief of my pimp ship flyin' high
'Til I met this pretty little missile, shot me out the sky

Hate to know I'm crashin', don't know how it happened
But I know it feels so damn good
Said if I could go back and make it happen faster
Don't you know I would baby, if could

Miss independent to the fullest
The load never too much, she helpin' me pull it
She shot the bullet that ended that life
I swear to you the pimp in me just died tonight, girl

Sometimes love comes around and it knocks you down
Just get back up when it knocks you down, knocks you down
Sometimes love comes around and it knocks you down
Just get back up when it knocks you down, knocks you down

Tell me now can you make it past your Caspers?
So we can finally fly off into nasa
You was always the cheerleader of my dreams
And seemed to only take the head of football teams

And I was the class clown that always kept you laughin'
We were never meant to be baby, we just happened
So please don't mess up the trick
Hey young world I'm the new Slick Rick

They say I move to quick but we can't let this moment pass us
Let the hour glass pass right into ashes
Let the wind blow the ash right before my glasses
So I wrote this love letter right before my classes

How could a goddess ask someone that's only average for advice
Omg you listen to that bitch? Whoa it's me, baby, this is tragic
'Cause we had it we was magic, I was flyin', now I'm crashin'
This is bad, real bad Michael Jackson
Now I'm mad, real mad Joe Jackson
You should leave your boyfriend now, I'ma ask 'em

Say you gotta take the good, the bad, happy and the sad
But when you bring a better future than I had in the past
'Cause I don't wanna make the same mistakes I did
I don't wanna fall back on my face again

I'll admit it, I was scared to answer love's call
And if it hits better make it worth the first when it comes around

Sometimes love comes around and it knocks you down
Just get back up when it knocks you down, knocks you down
Sometimes love comes around and it knocks you down
Just get back up when it knocks you down, knocks you down

Won't see it comin' when it happens but when it happens
You're gonna feel it let me tell you now
See when love comes it knocks you down
Won't see it comin' when it happens but when it happens
You're gonna feel it let me tell you now
See when love comes it knocks you down, yeah"
15,drake,best i ever had,R_and_B,"[Talking:]
""You know a lot of girls be thinking my songs about them,
This is not to get confused
This one's for you. ""

[Bridge:]
Baby, you are my everything,
You all I ever wanted.
We could do it real big,
Bigger than you ever done it.
You be up on everything,
Other hoes ain't never on it.
I want this forever,
I swear I could spend whatever On it.

[Chorus:]
Cause she hold me down everytime I hit her up,
When I get right, I promise that we going to live it up.
She makes me beg for it,
Till she give it up,
And I say the same thing every single time.
I say,
You the fucking best,
You the fucking best,
You the fucking best,
You the fucking best,
You the best I ever had,
Best I ever had,
Best I ever had,
Best I ever had,
I say you the you tha fucking

[Verse 1:]
Know you gotta roomate,
Call me when there's no one there,
Put the key under the mat,
And you know I be over there.

I be over there,
Shawty I be over there,
I be hitting all the spots that you ain't
Even know was there.
And you ain't even have to ask twice,
You can have my heart,
Or we can share it like the last slice.
Always felt like you was so accustomed to the fast life,
Have a nigga thinking that he met you in a past life.
Sweat pants, hair tied, chilling with no make-up on,
That's when you're the prettiest,
I hope that you don't take it wrong.
You don't even trip when friends say,
""You ain't bringing Drake along?""
You know that I'm working
I'll be there soon as I make it home.
And she a patient in my waiting room,
Never pay attention to the rumors and what they assume.
And until them girls prove it,
I'm the one to never get confused with,
Cause

[Bridge:]
Baby, you are my everything,
You all I ever wanted.
We could do it real big,
Bigger than you ever done it.
You be up on everything,
Other hoes ain't never on it.
I want this forever,
I swear I could spend whatever On it.

[Chorus:]
Cause she hold me down everytime I hit her up,
When I get right, I promise that we going to live it up.
She make me beg for it,
Till she give it up,
And I say the same thing every single time.
I say,
You the fucking best,
You the fucking best,
You the fucking best,
You the fucking best,
You the best I ever had,
Best I ever had,
Best I ever had,
Best I ever had,
I say you the you tha fucking

[Verse 2:]
Sex, love, Pain;
Baby I be on that Tank shit.
Buzz so big,
I could probaly sell a blank disk.
When my album drop,
bitches buy for the picture,
And niggas will buy it too,
And claim they got it for their sister.
Magazine paper girl,
The money ain't the issue.
They bring dinner to my room
And ask me to intial.
She call me the referee,
Cause I be so offical,
My shirt ain't got no stripes,
But I can make your pussy whistle.
Like the Andy Griffith theme song,
And who told you to put them jeans on,
Double cuff love,
You the one I lean on,
Feeling for a fix,
Then you should really get your fiend on.
Yeah just know my condo is the crack spot,
Every single show,
She out there repping like a mascot.
Get it from the back,
And make your fucking bra strap pop.
All up in your slot 'till a nigga hit the jackpot.

[Bridge:]
Baby, you my everything,
You all I ever wanted.
We could do it real big,
Bigger than you ever done it.
You be up on everything,
Other hoes ain't never on it.
I want this forever,
I swear I could spend whatever On it.

[Chorus:]
Cause she hold me down everytime I hit her up,
When I get right, I promise that we gonna live it up.
She make me beg for it,
Till she give it up,
And I say the same thing every single time.
I say,
You the fucking best,
You the fucking best,
You the fucking best,
You the fucking best,
You the best I ever had,
Best I ever had,
Best I ever had,
Best I ever had,

I say,
You the fucking best,
You the fucking best,
You the fucking best,
You the fucking best,
You the best I ever had,
Best I ever had,
Best I ever had,
Best I ever had

[Talking:]
""See this the type of joint
You gotta dedicate to somebody
Just make sure it's that special to somebody"""
16,maxwell,pretty wings,R_and_B,"Time will bring the real end of our trial
One day there'll be no remnants no trace
No residual feelings within ya
One day you won't remember me.

Your face will be the reason I smile
But I will not see what I cannot have forever
I'll always love ya
I hope you feel the same.

Oh, you played me dirty, your game was so bad
You toyed with my affliction
Had to fill out my prescription
For the remedy
I had to set you free.

Away from me
To see clearly
The way that love can be when you are not with me
I had to lead
I had to love
I had to leave
I had to live

If I can't have you
Let love set you free
To fly your pretty wings around.

Pretty wings, your pretty wings, your
Pretty wings. Pretty wings around.

I came wrong you were right
Transformed your love into a lie
Baby believe me I'm sorry I told you lies

I turned day into night
Sleep till I die a thousand times
I should have showed you better nights, better
Times, better days
And I miss you more and more

If I can't have you
Let love set you free
To fly your pretty wings around

Pretty wings, your pretty wings, your
Pretty wings, Pretty wings around

So Pretty wings, your pretty wings, your
Pretty wings, Pretty wings around

Say Pretty wings, pretty wings,
Pretty wings, Pretty wings around

Little, little, baby, pretty wings

Darlin, Darlin, Pretty wings, your pretty
Wings, your
Pretty wings, Pretty wings around

Pretty, Pretty, Pretty
Pretty wings, your pretty wings, your
Pretty wings, Pretty wings around

Someone better is gonna love you
Someone, Someone is gonna love you baby

Pretty wings, your pretty wings, your
Pretty wings, Pretty wings around (x4)"
18,usher,papers,R_and_B,"(Usher Usher Usher)
Ooh! Ooooooh! Ooh! Papers
Ooh! Ooooooh! Ooh! Papers

Vrs 1:
I can't, get to work on time, can't believe the words to her I just said
But who the hell argue n fight like dogs at 6 in the morning?(in the mornin)
I know it's gonna' be some more shit tonight mm oooh
Our pastor's callin, tellin me I done went too far in
I'm seen around town and my friends can't recognize me,
'Cuz I took a chance on love(love), it's like(like), I'm dyin(ooh dyin)

Chrs:
For you I gave my heart and turned my back against the world
'Cause you were my girl, girl, girl
I done damn near lost my mama, I done been through so much drama
I done turned into the man that I never thought I'd be.

I'm ready to sign them papers, papers, papers
I done took all I can take but you leave me no options girl
I can't deny how much I love you, I done gave up errthing I had to
As hard as it is I'm affraid I gotta say
I'm ready to sign them papers, papers, papers
I done took all I can take but you leave me no options girl

Ooh! Ooooooh! Ooh! Papers
Ooh! Ooooooh! Ooh! Papers

Vrs 2:
I'm losin my mind, can't figure out who's wrong or right
I know it's you I love, but then I also know it's you I don't like
You claim you hate who I was, but that's the reason you here now
You think I don't know what's up, but sweetheart that's what ruined us
I ain't afraid to say I got needs
But the only time you here for me is when the bottles poppin' and everything is sweet
But I I'm tired of sleeping in the other room spending them long nights
Trying to figure out what in the hell in my heart I ain't do right. (Oooh for u)

For you I gave my heart and turned my back against the world(back against the world)
'Cause you were my girl, girl(girl), girl,
I done damn near lost my mama(mama), I done been through so much drama(drama)
I done turned into the man that I never thought I'd be.(never thought I would be)

I'm ready to sign them papers(papers), papers(paii), papers(paai ooh oh oh oh)
(I done took) all I can take but you leave me no options girl
I can't deny how much I love you(know that I love u), I done gave up errthing I had to
(Anything I had to) as hard as it is I'm affraid I gotta say(I'm affraid I gotta say)
I'm ready to sign them papers(papers), papers(paii), papers(girl I took all I could take)
(I done took) all I can take but you leave me no options girl

Ohoh! Ooooooh! Oooooh yea! Papers
Ooh! Ooooooh! Ooh! Papers

Ready Ready Ready Ready
All my fellas up in here, if you had enough and u're ready to sign say
Ready Ready Ready Ready(I'm ready, yes I am)
All my ladies if you sick and tired, and u're, ready to sign, say
Ready Ready Ready Ready(ooh)
I can't keep livin this life, I'm feena leave it for the last time I'm
Ready Ready Ready Ready

I done damn near lost my mama, I done been through so much drama
I done turned into the man I never thought I'd be.

I'm ready to sign them papers, papers, papers
I done took all I can take but you leave me no options girl
I can't deny how much I love you, I done gave up errthing I had to
As hard as it is I'm affraid I gotta say
I'm ready to sign them papers, papers, papers
I done took all I can take but you leave me no options girl"
20,melanie fiona,it kills me,R_and_B,"Oh yeahh
I've been troubling my friends
Trouble in my life
Problems when you don't come home at night
But when you do
You always start a fight
But I can't be alone
I need you to come on home

I know you messin around
But who the hell else is gonna hold me down

Oooh I gotta be out my mind
To think it's gonna work this time
A part of me wants to leave
But the other side
Still believes

And it kills me
To know how much I really love you
So much I wanna hoo hoo hooo
To you hoo hoo

Should I grab his cell
Call this chick up
Start some shhh
And then hang up
Or should I be a lady
Ooh maybe cause I wanna have his baby

Ooh yea I don't wanna be alone
I don't need to be on my own
But I love this man
But some things
I just can't stand

Ooh I gotta be out my mind
To think it's gonna work this time
A part of me wants to leave
But the other side still believes

And it kills me
To know how much I really love you
So much I wanna hoo hoo hoo
To you hoo hoo

Should I play him back
To see how he'll react ooo
To see if he'll react to my love
My love

Ooh I gotta be out my mind
To think it's gonna work this time
A part of me wants to leave
But the other side still believes

And it kills me
To know how much I really love you
So much I wanna hoo hoo hoo
To you hoo hoo

Ooh and it kills me
To know how much I really love you
So much I wanna hoo hoo hoo
To you hoo hoo"
22,timbaland featuring drake,say something,R_and_B,"[Drake] [Chorus:]
This sh-t was all I knew,
You and me only,
I did it all for you,
Still you were lonely,
We could work it out,

Uhh, but I guess things change,
It's funny how someone else's success brings pain,
When ya no longer involved that person has it all,
And you just stuck standing there,

But, Ima need you to say something baby,
Say something baby,
Say something baby,
Ima need you to say something baby,
Say something baby,
Say something baby,

Uhh, I am the topic of conversation, this a celebration,
Lets toast to the fact that I moved out my momma basement,
To a condo downtown because it's all about location,
I sit and drink wine and watch californication of life,
You shoulda been here to kick it with me,
We coulda split this whole thing up 50/50,
But now I'm at the 40-/40 getting b-tches tipsy,
Killing sh-t the ever so talented Mr Ripley,
How I go from being the man that you argue with,
To me and Dwayne Carter putting out the hardest sh-t,
I should wanna go back to the one I started with,
But I'm addicted to this life it's gonna be hard to quit,
Yeah, just ask me how things are coming along,
You can tell me that you never heard none of my songs,
Long as you end up saying one day you plan to listen,
Cos what's a star when it's most important fan is missing?"
23,monica,everything to me,R_and_B,"Boy if you ever left my,
My side,
It'd be like taking the sun from
The sky
I'd probably die without
You in
My life
Cause I need you to
Shine, shine
Your light
Oooohhhhhhh

You're everything to me, heey
The air that I breathe, oohhh
I sigh so I see, oh Lord
You're everything to me

I can't repay you for all that you've done
Always come first and second to none
All that you've given me is equal to ten
My peace, my joy
You are my
My strength, ooohhhh

You're everything to me, whoa
The air that I breathe, ooooohhh
I sigh so I see, ohhh that
You're everything to me

(Boy I never thought) Never thought I'd feel a love like this
Better than our first date
Sweeter than our first kiss (and you)
Ain't no other person for me
You're my best friend
My lover
(Baby you're) My everything

You're everything to me, whoa
The air that I breathe, ooooohhh
I sigh so I see, ohhh
You're everything to me

I need you, I need you, I need you..."
25,usher,there goes my baby,R_and_B,"Vrs1:
On the road to the riches try n stop n take pictures
Pay attention to each detour and you-turn along the way
Be aware of the winding roads,
Know that as long as you take it slow
U'll be fine, plus u'll find, u're already there
On the road to the riches don't forget to stop n take pictures
Coz life ain't 'bout where you finish,
But what u've learned along the way
So as you chase success remember that I told you best
You look fine, then u'll find, u're already there

Chrs:
And that's the truth(Go ahead be you- yeah)
Go ahead be you(If you wanna be free)
Want to be free(First you must be)
Be(Just be)
Be(Just be)

Vrs2:
With the glass half empty 'least you know u're not thirsty
Try to see it for what it is, really half full now take a sip
And as it trinkles down, let it wash away any doubt
In your mind, you're fine
Don't think real joy is in position of Mo-ney noo!
Don't compare your life to somebody else coz you don't know
Just what they're going through, less you walk a mile in their shoes
Don't be blind, the sun shines, on everybody here

Chrs:
And that's the truth(Go ahead be you)
Go ahead be you(If you wanna be free)
Want to be free(then you have to first be)
Be(Just be)
Be

Bridge:
I know that sometimes life can throw a curve
But you gotta keep on swingin hard,
It's the only way to knock one out the park
And if it doesn't make it over the wall
The only way to strike out is if you don't swing at aaaallll

Chrs:
And that's the truth(yeah, wanna be u)
Go ahead be you(oh, then u're gonna be free)
Want to be free(please be)
Be(Just be)
Be(and I'm speakin the truth)
And that's the truth(just be you)
Go ahead be you(yea! Ooh ooh you wanna beee!)
Want to be free(oh but First you must be)
Be, Be(beee)

Yea yea, yeaah ooh yeaa yea, Beee oooh yea!"
26,chris brown featuring tyga & kevin mccall,deuces,R_and_B,"All that bullshit is for the birds
You ain't nothin but a vulture
Always hopin for the worst
Waiting for me to fuck up up
You'll regret the day when I find another girl, yeah
Who knows just what I need, she knows just what I mean
When I tell her keep it drama free
Ohohohohohohohoh... X2
I told you that I'm leaving (deuces)
I know you mad but so what?
I wish you best of luck
And now I'm fittin to throw them deuces up

[Chorus:]
I'm on some new shit
I'm chuckin my deuces up to her
I'm moving on to something better, better, better
No more tryin to make it work
You made me wanna say bye bye, say bye bye, say bye bye to her [x2]

[Tyga Verse]
Uh, Use to be valentines
Together all the time
Thought it was true love, but you know women lie
It's like I sent my love with a text two times
Call cause I care but I aint get no reply
Tryna see eye to eye but it's like we both blind
Fuck it lets hit the club, I rarely sip but pour me some
Cause when it's all said and done,
I aint gon be the one that she can always run to
I hate liars, fucklove I'm tired of tryin
My heart big but it beat quiet
I don't never feel like we vibin
Cause every time we alone it's a awkward silence
So leave your keys on the kitchen counter
And gimme back that ruby ring with the big diamond
Shit is over, whatchu trippin for?
I don't wanna have to let you go
But baby I think it's better if I let you know

[Chorus:]
I'm on some new shit
I'm chuckin my deuces up to her
I'm moving on to something better, better, better
No more tryin to make it work
You made me wanna say bye bye, say bye bye, say bye bye to her [x2]

[K Mc verse]
Look, my shorty always on some bullshit like Chicago
So I flip that middle finger and the index finger follow
Deuces, we aint got no future in tomorrow
I'm a dick, so it shouldn't be that hard to swallow
The other chick I'm with never complainin'
She make wanna leave the one I'm with Usher Raymond
Probably didn't register, don't trip, later on it will
Shorty full of drama like gangsta grizzles
I finally noticed it, it finally hit me
Like Tina did Ike in the limo, it finally hit me
I got a new chick, and she aint you
She paula patton thick She give me dйjа vu
And all that attitude, I don't care bout it
But all that shit I do for her, you gon hear bout it
Breezy rep two up, two down
But I'm just puttin two up, chuckin up the deuce now

[Chorus:]
I'm on some new shit
I'm chuckin my deuces up to her
I'm moving on to something better, better, better
No more tryin to make it work
You made me wanna say bye bye, say bye bye, say bye bye to her [x2]"
